_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
697f7660c89bd1e221c41ce9,,51.01,89.26,53.61,52.57,255;3;1;0,time,60,-1,1,59.99,0,2.85,false,false,english,,normal,false,false,false,,1769961056000
697f73c5c89bd1e221c40112,,65.64,94.25,65.64,56.79,82;0;0;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1769960389000
697f73b3c89bd1e221c40053,,52.82,90.41,52.82,58.34,66;0;0;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1769960371000
697f73a3c89bd1e221c3ff9c,,55.24,92,55.24,62.07,69;0;0;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1769960355000
697f7391c89bd1e221c3fedd,,44.04,84.06,48.84,46.45,55;2;0;0,time,15,-1,1,14.99,0,3.55,false,false,english,,normal,false,false,false,,1769960337000
697f737ac89bd1e221c3fdd3,,57.62,88.89,57.62,46.58,72;0;0;0,time,15,-1,1,14.99,1,0.43,false,false,english,,normal,false,false,false,,1769960314000
697f733bc89bd1e221c3fb60,,49.64,86.3,49.64,65.73,62;0;0;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1769960251000
697f7328c89bd1e221c3fabf,,46.44,85.14,50.44,62.66,58;2;0;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1769960232000
697f7304c89bd1e221c3f93c,,47.23,86.67,52.03,60.69,59;1;0;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1769960196000
697f72f2c89bd1e221c3f86f,,59.21,87.91,67.21,67.33,74;4;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1769960178000
697f704fc89bd1e221c3dcbc,,58.43,90.11,70.44,69.04,73;4;0;1,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1769959503000
697f6ec3c89bd1e221c3cc99,,57.62,89.41,65.62,70.71,72;4;0;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1769959107000
697f6eb2c89bd1e221c3cbe0,,69.63,92.71,74.43,69.38,87;3;0;1,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1769959090000
697f6ea1c89bd1e221c3cb32,,74.42,93,74.42,59.16,93;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1769959073000
697e4015c89bd1e221bb103c,,59.22,89.29,59.22,63.82,74;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1769881621000
697e16d9c89bd1e221b96cd8,,68.02,94.74,74.42,79.48,85;2;0;0,time,15,-1,1,15,0,4.82,false,false,english,,normal,false,false,false,,1769871065000
697e16c1c89bd1e221b96bc3,,56.03,84.71,64.03,56.5,70;5;1;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1769871041000
697df718c89bd1e221b83dd9,,58.4,94.81,58.4,54.03,73;0;0;0,time,15,-1,0,15,1,0,false,false,english,,normal,false,false,false,,1769862936000
697df707c89bd1e221b83d46,,52.79,84.38,71.99,60.57,66;6;2;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1769862919000
697defd8c89bd1e221b8014c,,59.23,88.64,66.43,70.9,74;4;0;3,time,15,-1,1,14.99,0,7.09,false,false,english,,normal,false,false,false,,1769861080000
697defb7c89bd1e221b80053,,76.04,91.59,83.25,66.49,95;5;0;3,time,15,-1,3,14.99,0,3.28,false,false,english,,normal,false,false,false,,1769861047000
697dee51c89bd1e221b7f45b,,64.83,89.25,71.23,66.07,81;6;0;3,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1769860689000
697dee37c89bd1e221b7f38a,,43.21,83.08,43.21,42.11,54;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1769860663000
697ccb1dc89bd1e221adf429,,59.24,88.24,63.24,56.5,74;3;0;1,time,15,-1,1,14.99,0,0.45,false,false,english,,normal,false,false,false,,1769786141000
